review,sentiment,annotator1,annotator2,label
the device worked very well for my mother the choice of a necklace or a wrist band was very nice to have. it allowed her to stay independent much longer because if she fell help would be on the way immediately. they always called me at home to notify me that her device had been activated. peace of m,POS,1,1,1
"i enjoyed using the medical guardian smartwatch. it does everything as advertised. i like being able to get the local temperature and knowing how many steps i've taken for my morning walks. every product has room for improvement, i would hope to see features such as measuring your body temperature, ",POS,1,1,1
"it is very easy to set up. we got both the wrist unit and the neck pendant, so if we get tired of one, we can switch. three dollars more per month to add that option. we are pleased and will recommend it to our friends. i sure hope that medical guardian does not sell my phone number or e-mail!!! tha",POS,1,1,1
"so far this unit has performed as stated. i like that the monitor is loud and easily heard. i have the additional fall monitor for my husband which enables me to go out to the pool or grocery store knowing if he falls, i will be contacted by phone.",POS,1,1,1
i spoke to allison. she was well informed and very polite. she answered all my questions and made me feel comfortable making my decision to go with guardian.i received my mini guardian three days ago. i charged the battery then spoke with a women who went over my instructions. very easy to set up. ,POS,1,1,1
"i buy few medicine and they give me on-time delivery. this is really good. they also reply me instantly. i think they are very responsive about the time. overall, the experience is good and i would recommended everyone. thanks.",POS,1,1,1
i've fallen down many times. my son purchased a medical guardian for me and now i feel safer.,POS,1,1,1
"i researched online and liked what they had to say about medical guardian. the information on their website stood out. i also liked that their call centers are all in the us, so i knew i would be speaking to somebody who could speak english. everybody at medical guardian was very good at what they d",POS,1,1,1
"i did some research online and medical guardian seemed like the best deal. we liked that you're not in a contract and the price. we had it before for temporary and so far, it's great. we needed it at one time and it worked out well. bob had fallen and i wasn't around. so, he called 911 and they came",POS,1,1,1
"my daughter got me a medical guardian in case something happens to me. i wear it around my neck and keep it on all the time. so far, i've had no problems with the device at all.",POS,1,1,1
"my mother has medical guardian and it helped her. at times, she had to go to the hospital and she used it to alert the people and they called me too. so, it worked out well.",POS,1,1,1
"i had a stroke and my friend had suggested that i get something. the two of us started to sort of search around what might be best. as far as the cost, medical guardian was much more cost effective. also, we like that it was lighter weight. the medical guardian team was great, especially the origina",POS,0,1,1
"i fell last august and i also fell in june. i had always planned to get a medical device, so it motivated me to get it before. my family's happier now that i have one. my son knew someone that had a medical guardian. he checked what was the best one and he felt medical guardian was. their reps were ",POS,1,1,1
my experience with medical guardian has gone well so far. their reps are courteous and informative when i speak to them.,POS,1,1,1
my daughter ordered medical guardian for me. i wear my device around my neck and so far it has been comfortable. having their service has worked out fine for me.,POS,1,1,1
my wife and i went with medical guardian for her alert device. my son sent the order in and i paid for it. the set up process went fairly well. we followed the directions and things worked. the device has been doing very well for my wife.,POS,1,1,1
"my son got me a medical guardian device. one time, i made a mistake and pushed the button. something else went off and they responded really quickly. i told their rep i was okay. so far, i like the device and i'm satisfied with it.",POS,1,1,1
"my husband and i both have a medical guardian wristwatch and it was very good when we were setting it up. i get a little bit sweaty and it kinda sticks to me so i'm going to try to make a new wristband for it. but so far, i'm very happy with it. it really makes me feel good with my husband because h",POS,1,0,1
"my daughter works for a doctor's group and she was insistent in getting me a medical alert device if i would be comfortable having one. after i lost my husband, i live alone, so she was worried about me. my grandson came and hooked everything up for me. so, i love that. i also feel very good about m",POS,1,1,1
"my daughter picked out medical guardian for me and so far, i'm happy with it. initially, we had a little mix-up in the paperwork. my daughter filled it out and left it on the table. i was supposed to put it in the envelope and mail it. but i picked up the papers and put it with some other ones. then",POS,1,1,1
"i feel good about the response i get when i test my medical guardian device. while the black lanyard it's on is comfortable to wear, i'm thinking about getting a cheap necklace i can put it on so that the lanyard isn't peeking out of my clothes all the time. also, i don't wear it to bed 'cause it fe",POS,1,1,1
i remember to keep my medical guardian on. i feel a little safer with it.,POS,1,1,1
"my daughter got a medical guardian device for me. i have the button on me and i've charged it. so far, i have no problem wearing it. it gets me help when i need it and i'd rate it high. i've also used 911 before and i don't have to have the device, but it's good.",POS,1,1,1
my daughter and son were the ones that decided that medical guardian would probably be the type that i'd be happy with. i adjusted to it immediately and i hope it all works when i need it. i am supposed to call in the next two days for testing. i appreciate them being that considerate to call. that ,POS,1,1,1
medical guardian was the first call that my daughter made and she was very impressed with the person that she spoke to so she didn't go any further. she went with him and made the arrangements for me. my experience with medical guardian was very good and everything is working well. i worked with som,POS,1,1,1
"i was in the hospital. i've been using my medical guardian device for a few days. i activated it and it's going well. i take it off when others sleep, but i put it on to go to the bathroom. also, i like the blue light. it reminds me that it's there. it's simple to use. when i was moving it, i went o",POS,1,1,1
"we got a medical guardian device for the confidence that if my mother-in-law fell, she could reach someone. getting it set up was not expected to be super easy because it's not super easy, but it was easy for what it is. so far, so good. we got it to the length that she likes. you can adjust it and ",POS,1,1,1
"when i first got my medical guardian, i tested the button to see if it works and they answered almost immediately. i just don't like the string around my neck. the device could have a softer string thing, but it's okay. having it makes me feel secure. i'm very satisfied with my medical guardian.",POS,1,1,1
everything went very well with medical guardian. the device has been comfortable to wear. i tested it when i first got it and the response was very good. it answered right away and they answered any questions that we had. i would vouch for medical guardian any day.,POS,1,1,1
"i'm happy with what i got right now. it did work because when that machine fell off the little table and it rang away, they called me back.",POS,1,1,1
"our resident wears her medical guardian pendant and it goes off at times and they contact us to go check on her. the service is very quick. it's within three minutes, normally, and it goes smoothly. also, they're very professional. they even hold the line until we send someone to the room to check o",POS,1,1,1
"i bought my mother a medical guardian device and the purchase was great. the setup and testing also went great. their ratings were high, and the woman that i spoke with, was unbelievable. and i like that it's not tied to a telephone. that is key especially with older people if the phone's off the ho",POS,1,1,1
"the representative was very informative. he answered all my questions very thoroughly. i thought it was a very smooth transition. in fact, when i got off the phone, i felt very good about it. i felt very comfortable about the services that were gonna be provided. however, several weeks ago, i cancel",POS,1,1,1
setting up the system was very easy. they were very friendly and very knowledgeable.,POS,1,1,1
"medical guardian seems appropriate for what i may need it for going forward. i wear the watch and it's perfect. the representative that i got initially to review the plan and make the decision was wonderful. his name is jamal. then i received the lockbox for outside, and it was the wrong code. i cal",POS,1,1,1
i got medical guardian for my mom. she lives alone and has trouble getting around. i know now that she can get help if she needs it. i've only had experience with the person when we tested the equipment and he was wonderful.,POS,1,1,1
"the price of medical guardian was better and i recommended it to a friend of mine for her parents. the device was really easy to set up and i feel secure having it, knowing that i can call somebody and push the button if i needed help if i fell.",POS,1,1,1
