NAMES OF REVIEWERS,REVIEWS,DATE OF REVIEWS
"Karen of Sullivan, IN","The individuals I dealt with were very kind and answered questions so that I understood. I received the Medical Guardian equipment in a short period of time. I dropped it (in Indiana). One always wonders if there will be an immediate response if needed. I had one. While in Florida, I dropped it (arthritic hands). I received another immediate response. It is a great travel companion. I consider this purchase a success.","Original review: March 12, 2022"
"Susan of Rothbury, Michigan",The device worked very well for my mother the choice of a necklace or a wrist band was very nice to have. It allowed her to stay independent much longer because if she fell help would be on the way immediately. They always called me at home to notify me that her device had been activated. Peace of mind... priceless.,"Original review: April 1, 2021"
"Frank of Westminster, CA","I enjoyed using the Medical Guardian smartwatch. It does everything as advertised. I like being able to get the local temperature and knowing how many steps I've taken for my morning walks. Every product has room for improvement, I would hope to see features such as measuring your body temperature, your heart rate, blood pressure and blood oxygen.","Original review: Sept. 1, 2022"
"Blake of Star, ID","The customer service is excellent from purchasing to installing. The sales rep and customer service took their time, researched and made sure all tests were performed correctly. Unfortunately the fall button failed the test and they must send out a new one. I am still wearing it in case I do fall. It allows me to push the button, if I pass out it will be of no use. Customer service promptly shipped a new button to me. I would recommend Medical Guardian to others because of their fantastic customer service and the cost is reasonable. I did extensive research and Medical Guardian was always at the top of the recommendation list.","Original review: Aug. 5, 2022"
"Linda of Glenwood, MD","I've been very pleased so far. Had one mishap where accidentally hit the button and they responded immediately. A couple weeks ago, got a call from them to check on me... I hadn't done my own check to ensure the device was working so they called me to check I'll be going to England in Sept, so that will be the real test. We shall see. For now, I'm very pleased with it. It charges easily. I can wear it either on provided lanyard or clipped to my waist. Like both ways. Not too expensive either.","Original review: July 25, 2022"
"Judith of Las Vegas, NV","I was looking for a medical device that I could have with fall alert protection. Medical Guardian is supplying me with this protection. I was not happy with the first equipment I received but when called to set up the system, I was told of optional pieces. I am now thrilled with my small pendant and the system. Hopefully I will only have to press the alarm button once a month for a test.","Original review: Feb. 27, 2022"
"Steve of Woodward, OK","It is very easy to set up. We got both the wrist unit and the neck pendant, so if we get tired of one, we can switch. Three dollars more per month to add that option. We are pleased and will recommend it to our friends. I sure hope that Medical Guardian does not sell my phone number or e-mail!!! THAT would piss me off. !!!!","Original review: Feb. 7, 2022"
"Ila of Grass Valley, CA","I have been trying to cancel my membership for over 6 weeks apparently no one cares once they got my money. Now, I'm fighting for a complete reimbursement of my money!! I want my money back!! I want my money back!! I want my money back!! ASAP.","Original review: Aug. 21, 2022"
"Karen of Rowley, MA",Our experience was great when we purchased this system. We thought we were all set and 90 year old mom felt safer in her own home. 2 years later she fell in her kitchen and pressed the button for 3 1/2 hours and got nothing. Thank God my brother came and found her. She broke her hip and is going to rehab but has expressed she is not safe at home because the device did not work. She would rather go to a nursing home than return home. ,"Original review: Aug. 8, 2022"
"Gina of South Bend, IN","Purchased a Medical Alert System for my mother, at the time 86. It was supposed to have ""fall protection"". After she fell, no detection, we were advised the one they sent us did not have the fall protection. I had been paying for that for almost 5 years. Last year they offered me a small credit. I always pay per year vs per month. Sadly, my mother passed away. Instead of refunding 4 months -- they told me the previous credit I was given offset any refund I would have gotten. Obviously --- they didn't care why they had given me the previous credit. Also charged me a $50 restocking fee -- which no one conveniently mentioned. I prefer to not do business with companies who don't treat customers fairly. I would not recommend Medical Guardian.","Original review: July 11, 2022"
"Rita of Poiniana, FL","So far this unit has performed as stated. I like that the monitor is loud and easily heard. I have the additional fall monitor for my husband which enables me to go out to the pool or grocery store knowing if he falls, I will be contacted by phone.","Original review: July 7, 2022"
"Lisa of Jacksonville, FL",When my dad died I notified them and was given a RMA to return the equipment. They received it 5 days later. I have provided the tracking number multiple times and they still have not processed my return almost 2 months after getting the equipment back. They are still billing me. I have contacted them several times and get a different story each time. They collected an additional payment and have not refunded it back to my card. The monitoring services were great but prepared for a nightmare when you try to cancel the service.,"Original review: June 18, 2022"
"Rita of Poiniana, FL","So far this unit has performed as stated. I like that the monitor is loud and easily heard. I have the additional fall monitor for my husband which enables me to go out to the pool or grocery store knowing if he falls, I will be contacted by phone.","Original review: July 7, 2022"
"Lisa of Jacksonville, FL",When my dad died I notified them and was given a RMA to return the equipment. They received it 5 days later. I have provided the tracking number multiple times and they still have not processed my return almost 2 months after getting the equipment back. They are still billing me. I have contacted them several times and get a different story each time. They collected an additional payment and have not refunded it back to my card. The monitoring services were great but prepared for a nightmare when you try to cancel the service.,"Original review: June 18, 2022"
"Laura of Carlsbad, CA",My husband fell and the device did not recognize that he fell. Luckily he wasn’t hurt and neighbors saw him and did help him up. This is the second time that this happened. First time I excused as he was sitting in a chair and slipped to the ground. Thought maybe he was too low recognize that he fell.,"Original review: May 29, 2022"
"Patricia of Jeffersonville, IN",The price is reasonable compared to all others that I checked into and they walked me through the set up with no problems at all. I was a little disappointed that after I paid in full there were all kinds of discounts hitting my inbox.,"Original review: May 19, 2022"
"A. of San Jose, CA",Fall detection is a main part of this device in case of the stroke. I use this device for some time until noticed that fall detection doesn't work. It doesn't work even after upgrading to a new device. Customer representatives rare pick up the phone on Saturdays.,"Original review: May 18, 2022"
"Connie of Palmetto Bay, FL",I advised the initial person I spoke to I had a METAL roof..The device they sent (that I purchased) does NOT work with the metal roof situation -New device was to come Friday (2 days ago). Has not ... Have no idea what the device they are sending is-but feel the salesperson SHOULD have advised what I wanted would not work with metal roofs...It was CLEAR to him a few times CELL DOES NOT Work IN The house because of a metal roof--WHY didn't he tell me I couldn't get what I wanted?,"Original review: May 16, 2022"
